bookingReference,NPSReason
7879253,The holiday was as described online and we enjoyed the hotel and the resort. All the travel arrangements went well and having the phone app was useful to find out pick-up times and resort info.
7879257,Hotel staff friendly  especially to children although we didn't have any. Wish the children's entertainment and adults were separate as couldn t hear it. Once half way through our room was made into a double instead of twin but this was corrected. Terrac
7879259,Communication from the coach driver could have been clearer  didn’t check of the names of customers wasn’t going to allow us on the coach
7879266,Apart from having to check your own bags in which I think is disgusting the rest went well
7879277,This is the first time we have used Tui and the flights were really excellent. The Dreamliner is an awesome aircraft  so quiet and the staff were amazing. We always fly with Virgin into Orlando at least twice a year but I think we have made the decision 
7879283,We had a great holiday  great weather and a fantastic hotel been to this hotel before and will go again
7879284,The best experience  from booking to the first day or the holiday to the last! A good plus is the app  its great gives you detailed information and very user friendly. The staff were amazing at the hotel  made the whole week a much better experience  I w
7879291,We loved our holiday  hotel was great staff very friendly and efficient. Great location.
7879292,Everything was brilliant from the flight to hotel stay couldnt have hasked for anything better. Will be booking up again very shortly.
7879295,We were held up for over an hour once we had boarded the plane on the grounds that there was fog at our destination airport   surely that information was available so we could have stayed in the airport in less cramped conditions  not a good start...…..
7879301,Holiday was perfect and orgenised  until I landed and went to drive out my car park which I paid for with TUI and got charged £165 for called 24/7 geting rudely blown of phone and having to pay this. Currently disputing it but put a absolute downer and e
7879307,We usually go with tui or firstchoice.
7879310,Everything went well.
7879330,Our Cuban holiday rep frank was a really friendly helpful man brilliant guy. The hotel staff were amazing and friendly also hotel was clean and set in a stunning virtually untouched area so peaceful. The food in the buffet restaurant however was not so g
7879333,As good as any other company
7879335,Hi  my family and me had a lovely time at H10 Lanzarote garden fantastic hotel. Staff at Tui are all nice and friendly are flight was good and went really well. The one thing that was not good was finding out we didn't have any reps from Tui to breve us 
7879341,Had a good time
7879362,We had an amazing time. The trip itself was smoothly organised  all the staff we dealt with were kind  professional and helpful. The hotel was beautiful  there was amazing food and activities available and would highly recommend it to either couples or f
7879364,The hotel was perfectly set up of children which is what we wanted for our 3 year old boy. Both the big pool and splash pool with slides were great. The staff at the kids club were generally really good although we had one experience where we had to talk
7879367,Not at all happy with TUI resort rep. We asked for an upgrade in room  and offered to pay for such  we then requested a change of hotel  again offered to pay for such  within exiting hotel group. - both requests refused  with Rep stating this was hotel c
7879377,Very good
7879379,The only thing that could of been better would be more staff at the entrance of the dining room's. Lots of people would rush in with children and not bother to sanitize their hands. Some of the guests would spoon the chocolate fountain in to their big fa
7879383,A lot was good  but a near death experience due to poor maintenance wasn't so good.
7879389,We were really pleased with everything about our holiday and flights we would defiantly use Tui again in the future and recommend where we stayed to friends and relatives in the future. All in all Tui is a very good airline to travel with
7879396,Booking was really easy and with all the information we required for the holiday sent in plenty of time. Once on holiday we awaited the rep to arrive for our welcome meeting for nearly half an hour after the time given for the meeting. No apology was giv
7879400,Always book with TUI and have never been disappointed  especially with the RIU hotels
7879401,Hotel entertainment
7879406,The holiday was booked online  the TUI website was easy to navigate & we had no problems - we normally go to the TUI shop in Swansea as the staff are so friendly  helpful & knowledgeable especially Emma who booked our previous and next holiday. The staff
7879410,Loved our cruise the bike tours made our cruise a brilliant way to get around and Richard was a very informative guide lots of knowledge and he even found out querkie facts to give us
7879411,The hotel and the holiday were fine. Where it went wrong was when we arrived at Alicante airport to depart. The Tui staff set out the queueing lines incorrectly causing confusion and frustration. Not one member of staff played a leadership role and the s
7879412,Overall acceptable holiday let down by an issue we had with the some other guest that where threatened us with violence and held us hostage in our room after we complained about the noise level of them screaming and shouting at all hours of the night. Th
7879417,Holiday was as we would have expected  good standard of hotel  transfers ran smooth  our rep was informative; we booked an excursion (catamaran) via the rep which was very good and the she also gave us advice about a trip we wanted to take to Fuerteventu
7879418,Booking process and getting there all went well.
7879429,Our holiday was excellent. Flights and flight crew perfect. However the facilities at Edinburgh airport were poor. The boarding arrangements at Edinburgh Airport were shambolic. It was like herding sheep. Passengers were called forward based on seat numb
7879436,Your web site is really poor. It didn’t work and the boarding passes were hidden under random headings and useless.
7879450,We had a really lovely holiday staff were very friendly lovely food nice clean areas .the rooms we had need to be updated but they were satisfactory clean and towels changed every day good choice of food and drinks .liked that sun beds couldn’t be reserv
7879452,We have just come home from our holiday at the holiday village turkey   it was our first time there and we were very impressed with the hotel it was always clean and tidy the staff were all very friendly and approachable they always spoke to us and the c
7879454,On this holiday everything went well. The hotel is not a four star hotel but it's very clean and the staff and food and entertainment was great. Unfortunately last year we went on a two weeks honeymoon to Costa Rica at riu guanacaste. That was awefull   
787946,Very well organized from start to finish
7879463,All staff very polite and helpful. Good amount of legroom. Good selection of food and drink. Not enough toilets in economy for us to use.
7879469,Easy to book on line  we were kept up to date with emails and the whole experience was straight forward and went to plan
7879471,A very rude flight attendant named Jaqui on our outward flight came as a surprise. We have never experienced this hence why we feel the need to bring it to your attention. She clearly did not want to be working on Boxing Day and made it very obvious. All
7879479,Cabins flooded within an hour of arriving on our first ever cruise. Utterly devestated and initially very upset with Tui however over course of the week blown away by effort to make it right with us. Excellent staff morale and kindness shown from all on 
787949,because they have gran ventana beach resort in their brochure it would be great to see this resort back in thomsons main brochure again as many british people dont know about this lovely complex
7879495,The hotel we stayed in was in my opinion not up to the usual first choice standard by any means. Sadly we never saw the first choice rep only the kids club reps during our stay
7879497,On the flight coming home the young lady sitting next to me was diabetic and due to the rush and heat. She started to feel unwell before we took off I explained to the air hostess a lad. He told me there was nothing he could do i asked if he had a biscui
7879525,I would recommend First Choice/ Tui. The website is very easy to navigate and easy to filter. The resort staff are very helpful also. They were friendly and approachable and always happy to assist. I think it could be made clearer what needs to be done b
7879526,For our onwards journey  while going for online check in  the system did not allow and we contacted TUI office for online check in. We were told that TUI does not do online checkin. We have to reach airport two hours prior to departure. The flight was on
7879528,everything went very smoothly...from flights  to transfer and holidays
7879529,Staff were excellent made our holiday to be honest. Ana and Joaquin were excellent with our 18 month old son. Hotel was very clean and the food was good. Tui reps also excellent and got everyone involved with the entertainment. Would recommend to a frien
7879530,I can not think of anything that could have improved my holiday with TUI. It was truly fantastic from start to finish! Our first family holiday travelling with our 2 year old was so stress free! Great entertainment for the whole family and completely des
7879534,Great holiday with first choice/tui would 100% book with them again straight forward check in brilliant smooth flights hotel as advertised very friendly towards everyone.All in all a great experience and Rhodes is such a beautiful place with lots to do h
7879536,TUI booking process was incredible easy as always. Reserving seats in advanced meant i was able to sit next to my partner on the flight for the first time in years! TUI app made it easy to access all information at my finger tips both in the UK and in Mo
7879544,Overall  a good holiday. The Airport Lounge at LGW allowed a great start to the holiday however the Premium Check In experience could be improved  as the customer service wasn’t consistent with the rest of the holiday. Great flight crew and TUI transfers
7879548,flight taking of on time
7879549,Booking online was easy  with everything included from luggage to transfers. However  us along with many others were directed wrong by TUI staff to our transfer causing a lot of disruption. Also  we were extremely disappointed in our hotel as it was fals
7879556,Decent three star but the food was often cold and it made me ill on final night. Nightmare journey home.
7879559,The hotel is good  but the food could be better! The location is beautiful clean and well maintained. The view from the hotel is stunning! The biggest downside is the local bus service! Why can’t they get a bus stop nearer the hotel and nearer the bulk o
7879560,We did not book a holiday with TUI but did book a return flight. The checking in process at Gatwick took over an hour and our return jouney proved to be little better with the same amount of time being taken to check in.
7879565,Good all round. We mainly book with TUI.
7879570,Crew very professinoal and friendly  great selection of entertainment on flight. Food is above average compared to other flight companies. Would definitely go with TUI again.
7879573,Loved it from start to end  great accommodation  fantastic food & opportunities for activities. Staff all very helpful & some excellent.
7879579,Cabin was superb and the cabin steward really looked after it food and drinks were very good and the entertainment in the broadwsy lounge was superb.The ports visited were exeptional and the scenery was locely .Staff were very polite and couldnt do enoug
7879598,Free WiFi on plane out was v good. Hotel good as usual. Hotel check-in for return flight useless as bus pick up was 3 hrs before flight  so no extra time at hotel - we told rep we would keep cases for normal transfer.
7879606,The flight and the hotel were great  with no complaints whatsoever. The staff at the hotel really understand what customer service is all about. Nothing was too much trouble.
7879609,Only problem was NO PICK UP to take us to the airport for return flight. Got to pick up area half an hour before and no coach turned up. Waited for 3/4 hour after pick up time and then got a taxi. NOT IMPRESSED & will be complaining. The rest of the holi
7879612,The aeroplane was great with movies. The website was impossible and rubbish.
7879617,Nice flight and effective customer service .
7879621,The flight  transfers  hotel reps and even the pilot on the flight home were all first class. It helped make a great holiday
7879629,Mostly everything was good or very good. Reclining seats should be removed from all planes  there’s no need for them  and flights that are over 6 hours aren’t short haul in my opinion so there should be seat back TVs. The hotel was very good. One of our 
787963,Hotel not to normal standard for rating
7879630,Flights and transfers were fine. Hotel was relatively clean but with a few minor faults. Fire alarm was activated on numerous occasions meaning numerous evacuations to reception to find they were false alarms. Balcony door would not lock and a couple of 
7879640,The rep was superb A really helpful  a great familiarising free walk on the 1st morning and great with recommending trips. Flights etc all went really smoothly  and staff were pleasant at every turn
7879656,We had a serious issue on arrival at our accommodation in that the room description we booked (1 Bedroom Apartment with Terrace and Sauna) was duplex-style  ie: on two levels  which was completely unsuitable for our young family. The photo when booking c
7879660,Was a really lovely place to go  would definitely go back again and recommend it to friends and family.
7879676,The pilot landing in last Wednesdays gales 19/9/18 was fantastic. Please expand to future customers the length of the tfr to the airport. Over 2 hrs is too long. Please be specific so choices can be made on facts.
7879680,Flights were good  we didnt pay to sit together as saving money for more Tui holidays but we only got split across the aisle so that was good. Rep was very good. Hotel lovely.
7879688,Everything was ideal and made the holiday run smooth. From flights to connecting with transportation  lovely clean and modern hotel and friendly nd staff.
7879695,Fab hotel  food  accommodation staff made our holiday one to remember .flight was excellent ??the cabin staff were very attentive serving drinks duty free and a nice choice of food  looking foward to our next holiday with you
7879696,we were happy with the flyt but the food was hard
7879697,Easy to use website and easy to book.
7879698,Hotel was excellent. Reps were good  transfers were punctual. No complaints at all.
7879710,Very good flight. The flight was on time and arrive before time. The landing was very smooth. Love it!
7879711,I only booked a one way flight with TIU  from Naples to Bournemouth on oct 5th. The flight boarded apprix an hour late. Once boarded  the pilot clearly explained the reason for the delay (his flight the night before arrived late so he was not allowed to 
7879721,The flight went well and the staff were friendly. It was easy to find the TUI rep after baggage and be directed to the bus transfer. The transfer was over 2 hours to the hotel  this been 30 mins longer than necessary due to taking the rep home. The bus d
7879727,Apart from the 2.5 hour delay   with no information given as to why  the whole holiday experience was brilliant... no other complaints st all
7879730,we had a great holiday. Food  in particular  was the best we have experienced in an all inclusive hotel. Check in was by far the easiest and I was very pleased to see a hotel that was able to accommodate guests with all abilities. I not been to a hotel b
7879738,happy with my holiday not impressed by airplane service
7879740,the crew was very professional .
7879753,We loved the experience from start to finish. The reps  transfers and hotel exceeded our expectations. We did not read enough about the hotel before hand but were pleasantly surprised to see that it was a large family hotel which was perfectly matched fo
7879764,Flight times were great and punctual but no online check in again. Last time I flew it was the same. You could make life so much easier for yourselves
7879770,All staff throughout our journey were great  especially the entertainers at the hotel. Coach transfers on the way back picked us up in plenty of time and went quick. The driver helped us in and out with our luggage with a smile  he also helped us put our
7879781,Very good
7879782,Length of transfer was much to long. Larger beer glasses. Had a great holiday food was great and lovely and hot. it was varied plenty of choice. Lovely room. Very clean.
7879785,the prices were reasonable cheap  easy to book  no delays  flight landed smoothly  very comfortable
7879786,Everything met expectations
7879787,Everything about the holiday was excellent and we would certainly use first choice again and return to the same resort again. All staff at first choice and at the hotel were excellent and made the holiday a special one for us both. The only downside was 
7879788,No problems anywhere
7879794,Easy to use site and good to manage a shortlist of selections before booking. Very helpful local rep for our stay and a wonderful holiday had. Really rate the hotel and the platinum experience. It would be helpful to know more about the differences betwe
7879800,Really enjoyed the holiday  the room was a good size and while not luxurious it was clean  though it was disappointing that the description of the hotel said all rooms had a sea view. We were on the ground floor overlooking a car park so we didn’t make a
7879802,The website was slow  and instead of saying ‘there is a problem  please phone or call into store’  actually tell us there are no holidays or flights left.
7879820,Great service all round.
7879836,Very smooth flight  great entertainment and more or less on time
7879837,The rating on the hotel is not at all what I would expect of a tui / first choice 4* hotel. As a brand that prides itself on quality this hotel was sadly a let down for the expectations of your brand. It was tired  broken sun beds  needed some attention 
7879838,No issues
7879846,Our seats were booked altogether which put my mind at ease on check in  having 3 young children. I have also left a detailed review with the hotel directly.
7879854,Flight times could of been better
7879858,Unable to check in on line or complete api. Too long to queue on the phone and once through call operative cut my call off!! Went into tui at sixfields northampton...again appaling customer service..no effort made to assist
7879861,Had to wait over an hour for another flight to land before our coach transfer left the airport. Had we been advised that there would be a wait we could have booked a private transfer or had a cup of coffee.
7879864,The rep who travelled with us to resort was extremely odd. She focused on the Benidorm passengers  and her appearance was shocking
7879870,Really easy to book holiday using your website including being able to select different flights so maximise the time away.. Lots of information and reminders shared via the e-mails sent.
7879872,We had a lovely holiday  flights were on time  staff at resort couldn't have been more helpful. The resort was closing the day we left and although we had paid for a late checkout the hotel had offered a free late checkout to everybody staying. Without q
7879876,relaxing holiday from start to finish - from the smooth flight  friendly cabin crew. Easy transfer to hotel  warm welcome at hotel  a very easy holiday with no dramas  everything taken care if
7879877,Good price and service
7879880,The whole package  staff helpful  From booking  To airport  To transfers  To holidaying more can I say except we will use TUI again and again
7879884,Quick check in time  well organised.
7879885,When on a late night flight be able to keep your room
7879899,Good hotel very helpful staff. However  we paid £574 board upgrade for half board which equates to approximately 646€. We only received 35€ each per day ie 70€ in total. For a week that equals 490€. we are irritated that you have taken 156€
7879913,Verry good copmany
7879918,Our welcome meeting (delivered by Joey  at the Riu Karanboa  Boa Vista) was very informative and delivered in a professional and enthusiastic manner. From this meeting we were able to book some great excursions that we thoroughly enjoyed. Joey's last day
7879926,Having been on our first ever TUI flight we were suitably impressed from the arriving at the airport to going through immigration at East Midlands
7879928,Great experience
7879934,very good holiday
7879947,Purchased a flight only and all staff I came into contact with were very helpful and friendly.
7879949,Hand baggage allowance on board the flight is too restrictive. No check in on line of for the return flight is very inconvenient. Requirement to be at the airport 2.5 hours prior to departure is excessive.
7879965,Price quality and ease of booking. Excellent reps on site. Good leg room on flights. Quality hotels and services. This is my second booking of the year with Thomson/first choice and I really can't fault them with anything. Really enjoyable relaxed breaks
7879970,The hotel is defo not a 4*. Food was cold entire week. Bed sheets not changed even tho a cup of coffee was spilt all on it. Bathroom cleaned and beds made everyday day (apart from a wed) Floor never swept or mopped Balcony never swept or mopped No lights
7879971,We paid to pre book seats which we couldn't do we were sat with our children anyway so not sure why we had to pay to do this. We couldn't choose to sit anywhere else.
7879978,I am not the intended person for these emails. I have called the store twice to explain. I had access to someone else’s details  address and phone number. I also knew that their house was empty as they were on holiday! This is a massive breach in data pr
7879980,Check in smooth and flight arrived on top. Hand luggage weight needs to be increased.
7879983,Main positive points: flights departed on time  transfer was smooth and very well coordinated on all ends. Hotel was clean and exactly what I expected with great food and a great pool  as well as good walking distance to nearby beaches. Only downside was
7879985,The whole holiday was fabulous! The Falesia is an amazing hotel  with great rooms  superb food and fantastic  warm and friendly staff. The entertainment provided by the Tui Gold reps was great. It was an absolute pleasure to see Harry Hinchcliffe again  
7879987,Hotel in good position. Staff very good. Food Luke warm and plates were cold. When entertainment went inside you could not hear the singers because talking around the bar. Lifts small
7879996,TUI complaint – Cyprus  booking reference 0038/71636  reference 7879996 Booked the holiday with TUI Burton on Trent  requested high floor and cot. Arrived at the hotel early hours of 21st September. Was given room on the first floor  took the lift (no of
7880001,Every thing was good. No complaints.certain.
7880020,The smell in the rooms wasnt very nice it was coming from the drains in the bathroom also everything was closing as it was the final week of the season but the hotel still full of customers and when you book a holiday I would expect everything to still b
7880031,Charlie the representative was excellent  the best we ever had. Trips expensive compared to local market. Local trips were very good
7880032,Absolutely fantastic time from start to finish. Great flights   hotels and transfers.
7880046,On board entertainment it's a long flight
7880051,Overall very good. Leg room on plane is very limited and having paid extra to book seats together  online seat selector would not let me select an aisle seat which left a window seat empty. Felt was
7880069,The holiday was okay but let's be honest this is a good 4 star hotel not a 5 star one.
7880071,Lovely accomodation but resort was disapointing as there were very few restsurants. Apartment staff were very friendly and helpful. Only complaint was that we were not able to get a late chevk out room when we had a late flight back to UK. We were happy 
7880083,Hotel moved us to a different hotel. We had no local contact to sort it out. We emailed but took days to get a reply - we had sorted it out ourselves by then. We were advised that the rep would come and see our room but never showed up. We were disappoin
7880087,Booking on line was easy  especially using a mobile device. The airline staff were very friendly and helpful and assisted me when my partner felt unwell during the flight home.The hotel wad vaulue for money and exceeded our expectations. A very clean hot
7880088,Great holiday  lovely hotel staff helpful and friendly and entertainment was fantastic.
7880089,We stayed at Port Benidorm hotel in Benidorm. The hotel room and amenities were good  as was the service and cleaning. Food repetition however was the one downfall. Breakfast was reasonably good standard apart from having no decent jams. It was all in ti
7880090,Perfect holiday hotel and food amazing.
7880096,Easy process
7880118,Value for money holidays with good choice of local airports. Knowledgeable staff in resort.
7880119,Inform customers when there is a delay in boarding instead of being kept standing in a cold  wet corridor for 45 mins. We had passed through the gate so was unable to go back to sit down  no idea why we were kept waiting until we had boarded the plane to
7880127,We found the staff in the store very helpful and we booked the holiday online which was a very easy process. The only issue we had was due to the low number of UK guests at our hotel the rep didn't visit however she did eventually answer my email. Every 
7880136,The hotel description was accurate so we knew exactly what to expect when we arrived. The Tui rep was very helpful and organised our boat trip.
7880142,Got back from Hols to find our child has hand  foot and mouth virus. Symptoms started on Wed and as this has a 3 day onset we believe he got it from the water park connected with the hotel. We stayed in the hotel Polynesia in Benalmadema. Not a good end 
7880143,Only thing I would not recommend are the seat space  you have to upgrade to get a half decent seat.
7880149,Booking was very easy  website responsive The booking of flight extras was hare this time  as was flying with Thomas Cook and I was passed from TUI to Thomas Cook to their 3rd Party - tenacity and determination was needed to get what I wanted. Transfers 
7880152,The hotel staff were excellent. They were very friendly and extremely helpful. The foood was fantastic and the rooms were spacious  well ventilated and clean.
7880162,The ladies at my local TUI branch in Witney are all fabulous making the booking experience really easy and pleasurable  I know the resort and the hotel really well so I did not require any in resort assistance  the flight home was delayed 2 hours but not
788018,"very little contact before we went on our holiday, despite us booking a year in advance. lots of problems with reference numbers, online log-ins and atoll certificate would not work/print. lack of support when trying to get basic details emailed to us and last minute call reminders. when our holiday was sold to us, the lack of detail provided was unacceptable. wifi and safe had to be paid for on arrival and the overall holiday was not as was explained to us i.e. not fully all inclusive and the extras we paid for i.e. sea view was not at all a 'sea' view, rather a jungle view. we will not be traveling via Thomson or first choice in the future."
7880181,Long delay due to inefficient staff and systems.. Being treated by condescending flight staff unable to tell the truth. Using customer hysteria to excuse operational failures. Treating customers as unthinking morons rather than reasoning adults.
7880184,Nothing
7880185,Everything thing went well  fantastic first family holiday with our baby daughter. Flying by Dreamliner was particularly useful with a baby and all members of staff were approachable and helpful.
7880186,This was a flight only trip. The flight was better than expected. Felt well looked after. Food was great and movie choice. What I didn't like was the horrendously long queue on arrival at Sanford passport control.
7880188,Fantastic holiday  flight going was perfect....flight back at 00:45 from dalaman to Aberdeen very stressful indeed. Hundreds of people in lines to check in. We only wanted to drop bags as we already had boarding passes.... this seemed unavailable. We wer
7880203,Flight staff were excellent accomdation was worth what i paid absolutely enjoyed
7880209,Everything went well on the vacation but it was a simple package holiday with no special requirements. Previous experience has shown that when special services are requested Tui can fail to deliver an efficient service.
7880210,The luggage allowance was less than I’m used to. The return flight  what with having to vacate the room at 1100hrs and then arrival at Gatwick at 2200hrs was tiring and not ideal. The hotel was a good standard but I’m sure that you are aware that most we
7880216,Transfer to hotel was good and greeting on arrival
7880222,Entertainment was top -notch. Boarding could have been better  Celebrity pick up cases from your car.
7880231,Firstly the overall price of my flights was very reasonable and I have no cause for complaint. I believe the 5kg limit for hand luggage is too low. Also its not very clear if a ladys handbag is classed as 1 unit of hand luggage  people with children need
7880234,We loved every part of this holiday  the Hotel was amazing and we could not fault any part of our stay there. The private transfer was very well organised considerably better than a coach transfer. In general the whole holiday was fantastic and we would 
7880236,Great hotel  lovely food and all staff friendly.
7880238,Everything was excellent as usual with the hotel and flight. Very good value!! Very disappointed that TUI are stopping the Birmingham flight to Goa!!!!!
7880249,the accommodation was excellent  the flight was pretty good  food acceptable on the plane  although cost of beverages was pretty steep for what you got. Destination didn't disappoint... However the TUI reps were to be fair non existent  the arrival was a
7880266,Dreadful  wife received food poisoning  in hospital for 3 days.
788027,"This about our 15th holiday using thonson's, never let us down so far, long may that continue!! It seems to be a well organised company that wants you to have good holidays at reasonable prices and big enough to look after you if anything goes wrong."
7880276,There was a delay on flight  called booking agent sed we have to sort compensation our self.so not helpful hotel was a long distance from town no free bus but great food nice hotel
7880279,My experience with TUI was amazing! Book the flight was really easy and with a reasonable price. Then on the website everything was really easy to find and manage. I needed special assistance as I had crutches and all the staff on the plane was really he
7880286,Everything was great and we really enjoyed the holiday
7880292,Not a lot really. Only 2 points we picked up on during our stay at the sensatori Mexico: the booking into le cheque- no one goes on holiday to spend hours a day queueing to see if they can get a place. Allocate a date and time on arrival to guests. If th
7880293,The choice of food was excellent  but would have felt less like a canteen if they had used table cloths of an evening.
7880298,Food :excellent Cabin: very clean and comfortable   bed good I prefer feather pillows Entertainment: excellent Service: very very good Islands visited : Fervantura not interesting Day at sea not necessary Staff : excellent
7880300,The booking process was very easy and the website and app made it easy to keep track of payments  online check in  documents etc. Tui made getting to and from the airport to our resort very easy and  although we did not take advantage of them  it was goo
7880301,Easy pick up and transfer to hotel and like wise for the return to the airport. The Tui reps were very informative
7880303,Wasn't a tui holiday but the flight was  really pleasant staff  probably the best I have came across  would highly recommend. I've had a tui holiday in the past and it was great. Amazing for kids and families.
7880319,The recommendation of hotel  the booking of holiday   the transfer to hotel  pre booking of excursion in the uk. We were given two different welcome pack therefore a bit confusing as they had different meeting times. So arrived at meeting halfway through
7880328,Needed assistance at airports leaving newcastle was fine leaving allicante was horrendous and very stressful.
7880338,flights were on time outward and return the hotel was everything and more than we were told to expect The area and all facilities in the hotel were perfect
7880340,Rooms were lovely  but cleaning could have been better. Food was plentiful but not always warm. By the end of the week i struggled to have something different. Drinks were plentiful and the entertainment team were excellent providing entertainment for bo
7880348,Checking in at tenerife airport takes for to long. Made to feel like you are being herded. Solution open more desks!
7880354,keep doing what you do best  cannot think of anything that could be improved.
7880356,Overall I did not use the service except to fly and hotel. I felt that the que at Tenerife airport was a bit to much with some old folk and young struggling.
7880360,The organisation of the whole holiday package was very good. When we arrived  we were accommodated to our room immediately. The room was spacious  the balcony view wasn’t it’s biggest advantage though. Great location of the hotel  right by the sandy beac
7880368,The whole holiday was excellent  the flight  the hotel accommodation  the food was probably the best yet. The only things that caused a bit of concern was the confusing lift system. Many people were rambling around trying to get to their rooms but it too
7880400,good price and service
7880402,The flights could be better There was no offer of entertainment The staff were fantastic
7880403,This was our first holiday following a major operation undergone by my partner aged 74 We had to cancel our previous in Croatia but we were determined to reactivate the holiday we had to cancel one year later We could not have been happier and cannot thi
7880405,good holiday great fun weather hot
7880417,Easy to book  stress free. Hotel  transfer and flights all as expected. Had slight problem with API because flights were with AirMalta and could not easily see that we had to do this at check in
7880424,highly recommed tui i have a great experance from start to finish
7880425,Easy to book But bit confusing booking through TUI  first choice hotel and Thomas Cook flights. Couldn’t get app for any to wirk
7880427,Ease of booking online. Much cheaper onlone than in store which where you may be missing out. I'd hate for my local TUI branch to close as they can't match the online price! I do prefer to speak to someone face to face rather than call a call centre.
7880431,Didn’t see the Tui rep at all or get contacted by them at our hotel as requested. Didn’t feel any amazing benefit booking they tour operator over making separate bookings myself.
7880442,Flight and transfers to and from the hotel went very well. We had a lovely holiday. The booking process on line was an absolute nightmare. I will not be booking on line again. It took nearly 3 weeks to resolve and several phone calls around the g confirm
7880449,Booking holiday went well with follow up call from shop before departure date. Flight was great  kept the kids entertained and reps were great organising everything  really helpful  always around for questions and keeping the kids entertained.
7880471,The hotel was exactly as described. Check in was quick and straightforward and our cases were taken to our room while we had a drink and sandwich - appreciated at such a late hour and after a long journey.
7880487,Had a fab time couldn’t fault the hotel  food service and staff were brilliant. Very helpful.
7880491,From booking on line to the shop  holiday reps  airport staff & cabin crew professional yet friendly & approachable
7880492,I was helped in getting my tickets for a break to Cyprus  with my friend who has an apartment there. the purpose of the trip was a rest bite  the crew were great very polite and accommodating  and my journey went very nicely.
7880510,Went to Niriides apartments in Psalidi Kos. Lovely 2 bedroomed apartment. Spotlessly clean. One downside  very noisy from building site outside our apartment. Luckily  we didn't spend anytime at apartment during the day.
7880512,well after an 8hr  plus^ flight delay  gathered with fatigue and sickness did not make for a good holiday . It was not your crews faultthough  your staff were loverly and the stand in crew were no less than brilliant. Given this dreadful experience we ha
7880515,Transfer pick up could be more detailed as we had to ask few times which coach we were going..All in all representatives were great with welcoming and necessary information...
7880519,Travel to and from destination and transfers worked like clockwork. Hotel exceptional.
7880531,Apart from being dropped to the wrong hotel by the transfer and having to get 2 taxis it was great
7880539,The plane was old and uncomfortable  sounded like it.could fall apart. The rest of the holiday was lovely  couldnt fault the accomodation or the owners. Will be returning to crete in the future.
7880557,Holiday whit Tui are always the best????
7880560,Shame it cost me £30 to speak and book with someone on the phone. Internet is ok  but human interaction can not be ignored. Also the site did not inform us that the spa was out of order.
7880569,everything was explained fully during the booking of our holiday and was kept up to date by e-mail
7880581,It was  without a doubt  the most wonderful holiday. You could not have done any more  than what you had so highly achieved already. From the lovely staff  to the food  to the airline crew  nothing was too much trouble for them. The Family life Nevis is 
7880593,All arrangements went well. The hotel room maid service was extremely good. Most of the hotel was clean except the lounge sofas which were filthy  the arms were black and grubby which on a light grey or light orange color was pretty obvious. The main fru
7880600,Everything went well no complaints
7880602,We had no problems with any part of the holiday  check in was good  transfer was good and the holiday rep was very nice.
7880604,Hi  the holiday in Gran Canaria was brilliant. This was our third visit to the Baobab resort  and it was very relaxing. The weather was great. The food at the hotel was superb  I think it was actually better than last year  and some of the chefs were rea
7880621,Good Morning   My partner ( Mrs Melledew ) and I were flight only to Gran Canaria so we can only comment on that part of this survey . However we particularly want to commend one of the flight attendants ... Laura on our return flight ( TOM 2405 ) on Thu
7880625,Booking - staff member was helpful although failed to tell us everything about a property and I felt a little pushed into booking something I perhaps shouldn’t have. Flights- generally good Holiday- hotel was nice but not to our taste in some respects. L
7880631,Value for money  flights on time  staff available at airport.
7880638,very little could be improved on hence my score of 9
7880642,I was a flight only booking in this instance and was very happy with the pleasant and helpful cabin crew. Well done.
7880651,The only suggestions for improvement are there could have been an extra mirror in the apartment so you could dry your hair and to get safer transfer drivers  as the one on the way back to Bourgas airport nearly ran me over (as he didn't check his mirror 
7880662,Have already booked to go back next year to cortijo blanco really enjoyed again a lovely hotel to relax
7880674,flight and transfer was good
7880682,After my husband & i having the most horrible honeymoon & me also having my 40th while away (living in a filthy apartment & getting nothing for our special occasions) in the guacimetalanzarote ?? Tui was amazing & put us in premium seats on our way home 
7880685,Majorca was beautiful lovely beach nice bars and restaurants and a really chilled out place to visit but our balcony was on the main strip so did not get much sleep as really noisy with traffic and no air com and tho we had to get a fan from reception it
7880687,Enjoyed a week in Salou  Costa Dorada in September. The whole trip was well organised from start to finish  and our TUI rep was always around or contactable. Food in the hotel was decent although there was not much selection for me (as a vegetarian). We 
7880710,Hotel was very clean  food albeing buffet style was excellent chefs always checking & replenishing when just half empty also good variety. Staff in dining areas friendly & helpful. Would go again to the Tababie Princess
7880720,yes
7880729,We usually always book with Tui  as you are guaranteed good service and an honest feedback from previous customers who have holidayed there. The flight staff on this holiday were superb. I was really ill on the day we came home and they came to chat with
7880731,Most things went well  shame about the 2.5 hr delay on the outbound flight  but I guess that's not too bad when compared to some of the horror stories one reads about.
7880744,The hotel was cleanless. And nobody was cleaning the room. There was a lot of dirt of somebody who was leaving before. Flight was awful  because plane seats was to small. But holidays was good
7880757,Complex is fantastic would recommend to anyone with families. I made the mistake of flying from Manchester T2 which was a disaster. Rude ignorant unprofessuo al and untrained people who couldn't give a dank about customer service. Horrible experience.
